Coin,Name,Symbol,PCoin,PPrice,Trend_1M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
WIN,WIN/USDT,winusdt,2,8,2,0.00014232,0.00014412,1,0,1,1,0.00014622,0.00014586,0.00014322,0.00014412,10000.00014329,-9999.99985414,0.00014454,0.00014412,0.00014175,0.00014175,False,False,1,0.00014322,0.00014322,0.00014622,0.00014586
CEEK,CEEK/USDT,ceekusdt,4,4,1,0.1814,0.1829,1,2,1,1,0.1821,0.1821,0.1793,0.1829,10000.1793,0.1793,0.1814,0.1829,0.1777,0.1777,False,False,1,0.1793,0.1793,0.1821,0.1821
ANT,ANT/USDT,antusdt,2,4,0,1.9377,1.8995,2,1,1,1,2.1123,2.1101,1.9377,2.1165,2.1165,-9997.8878,1.9377,1.9683,1.883,1.883,False,False,0,2.1165,2.1101,2.1165,2.1107
XRP*3,XRP*3/USDT,xrp3lusdt,4,8,0,0.00054864,0.000548,1,0,1,0,0.00057977,0.00057977,0.00054864,0.00055298,0.00055298,-9999.99942023,0.00054864,0.000548,0.000545,0.000545,False,False,1,0.00054002,0.00054864,0.00057977,0.00057977
DKA,DKA/USDT,dkausdt,2,6,2,0.0,0.0,1,0,0,0,0.065744,0.065744,0.050336,0.051709,10000.050336,-9999.934256,0.051709,0.051709,0.051709,0.051709,False,False,1,0.0,0.050336,0.065744,0.065744
CSPR,CSPR/USDT,csprusdt,1,4,0,0.0379,0.0381,1,0,1,0,0.04,0.04,0.0379,0.0381,0.0381,-9999.96,0.0379,0.0381,0.0389,0.0389,False,False,1,0.0379,0.0379,0.04,0.04
MXC,MXC/USDT,mxcusdt,2,6,1,0.083491,0.083578,1,2,1,1,0.083161,0.082957,0.082836,0.083578,10000.082968,0.082836,0.083546,0.083578,0.084126,0.084126,False,False,1,0.082836,0.082836,0.083161,0.083063
ACT,ACT/USDT,actusdt,2,6,2,0.0,0.0,2,1,0,0,0.003058,0.003058,0.003002,0.003134,0.003134,-9999.996866,0.00312,0.00312,0.00312,0.00312,False,False,0,0.0,0.003058,0.003134,0.003058
FITFI,FITFI/USDT,fitfiusdt,4,6,0,0.172094,0.17795,1,0,1,0,0.176321,0.175975,0.172094,0.175549,0.175549,-9999.824025,0.172094,0.175549,0.190376,0.190376,False,False,1,0.171171,0.172094,0.176321,0.176119
XLM,XLM/USDT,xlmusdt,4,6,0,0.127964,0.127347,1,0,1,0,0.135753,0.13566,0.127964,0.128056,0.128056,-9999.86434,0.127964,0.128056,0.127739,0.127739,False,False,1,0.128367,0.127964,0.135753,0.135753
