Coin,Name,Symbol,PCoin,PPrice,Trend_4H,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
SUSHI,SUSHI/USDT,sushiusdt,4,4,0,1.2261,1.5114,2,1,1,1,1.3867,1.256,1.2055,1.3928,1.3928,1.2055,1.2055,1.3928,3.1144,3.1144,True,True,0,1.4943,1.256,1.3928,1.3396
RVN,RVN/USDT,rvnusdt,2,6,1,0.0,0.032237,2,1,1,1,0.030913,0.028082,0.02766,0.031371,0.031371,0.02766,0.028918,0.031371,0.051865,0.051865,False,True,0,0.02766,0.028082,0.031371,0.029344
NANO,NANO/USDT,nanousdt,4,4,1,1.6763,1.5135,1,2,1,1,1.3298,1.0155,0.8334,1.5135,10001.0122,0.8334,1.6763,1.5135,2.0282,2.0282,False,False,1,0.8334,0.8334,1.3298,1.1012
AE,AE/USDT,aeusdt,2,4,1,0.1012,0.1016,0,1,0,1,0.0952,0.0761,0.0919,0.1016,10000.0863,0.0919,0.1012,0.1016,0.1128,0.1128,False,False,0,0.1193,0.0761,0.1016,0.085
LOOKS,LOOKS/USDT,looksusdt,4,4,2,1.3896,1.8201,0,1,1,1,0.5295,0.4681,1.5,1.8822,10000.5295,-9998.1985,1.5478,1.8201,1.3939,1.3939,False,False,0,1.5,0.4681,1.8822,0.4743
BTS,BTS/USDT,btsusdt,2,4,1,0.0,0.017,0,1,0,1,0.0158,0.0103,0.0142,0.017,10000.0122,0.0142,0.0205,0.017,0.0205,0.0205,False,False,0,0.0142,0.0103,0.017,0.0121
MDX,MDX/USDT,mdxusdt,2,4,0,0.0845,0.186,1,0,1,0,0.1171,0.0916,0.0845,0.0988,0.0988,-9999.9014,0.0845,0.0988,0.2107,0.2107,False,False,1,0.0821,0.0845,0.1171,0.0959
BNT,BNT/USDT,bntusdt,2,4,1,0.0,1.8554,1,2,1,1,1.4126,1.3287,1.3199,1.5426,1.5426,1.3199,1.3199,1.5426,2.1744,2.1744,True,True,1,1.252,1.3199,1.4126,1.3465
XTZ,XTZ/USDT,xtzusdt,4,4,1,0.0,2.8795,1,2,1,2,1.9356,1.6115,1.4498,2.8795,10001.6946,1.4498,3.014,2.8795,3.014,3.014,False,False,1,1.4498,1.4498,1.9356,1.7876
EOS*3,EOS*3/USDT,eos3lusdt,4,10,1,0.0,9.13e-06,2,1,1,1,7.9106e-06,6.4809e-06,6.17e-06,8.07e-06,8.07e-06,6.17e-06,7.2e-06,8.07e-06,7.603e-05,7.603e-05,False,True,0,6.17e-06,6.4809e-06,8.07e-06,7.0704e-06
IOI,IOI/USDT,ioiusdt,4,4,2,0.0,0.6752,1,2,1,1,0.71,0.429,0.429,0.7098,0.7098,0.4785,0.429,0.7098,0.6387,0.6387,True,True,1,0.5276,0.4785,0.71,0.5242
FIL*(-3),FIL*(-3)/USDT,fil3susdt,4,8,0,5.128e-05,1.603e-05,1,2,1,1,8.375e-05,6.682e-05,6.562e-05,9.542e-05,9.542e-05,6.562e-05,6.562e-05,8.208e-05,1.305e-05,1.305e-05,True,False,1,9.542e-05,6.562e-05,8.375e-05,7.263e-05
GLMR,GLMR/USDT,glmrusdt,4,4,2,0.0,2.6387,0,1,0,1,1.5598,1.051,2.4856,2.9096,10001.1618,-9997.2242,2.4856,2.6387,3.7907,3.7907,False,False,0,2.3066,1.051,2.9096,1.1167
MOVR,MOVR/USDT,movrusdt,4,4,0,20.5001,45.9213,1,2,1,1,23.2401,21.938,21.4548,24.2999,24.2999,21.4548,21.4548,24.2999,53.8495,53.8495,True,True,1,28.754,21.4548,23.2401,22.8413
CRE,CRE/USDT,creusdt,2,6,1,0.006737,0.006654,0,2,0,1,0.005806,0.004956,0.00531,0.006654,10000.005181,0.00531,0.00531,0.006654,0.008248,0.008248,False,False,1,0.003235,0.00531,0.005806,0.005181
USDT,USDT/UAH,usdtuah,1,2,0,0.0,0.0,0,0,0,0,37.6,33.0,34.06,34.06,34.06,-9964.44,34.06,34.06,34.06,34.06,False,False,0,0.0,33.0,36.69,36.04
BTM,BTM/USDT,btmusdt,2,6,2,0.0,0.0,1,2,0,1,0.0101,0.008879,0.008765,0.010399,0.010399,0.008765,0.008765,0.010399,0.0224,0.0224,True,True,1,0.0239,0.008765,0.0101,0.00976
CTXC,CTXC/USDT,ctxcusdt,4,4,0,0.0989,0.1945,1,0,1,0,0.1648,0.1105,0.0989,0.1156,0.1156,-9999.8724,0.0989,0.1156,0.2457,0.2457,False,False,1,0.0778,0.0989,0.1648,0.1283
BCH,BCH/USDT,bchusdt,4,2,1,0.0,244.37,1,2,1,1,237.09,180.67,156.91,244.37,10184.97,156.91,315.2,244.37,315.2,315.2,False,False,1,156.91,156.91,237.09,191.13
