Coin,Name,Symbol,PCoin,PPrice,Trend_1D,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
ACT,ACT/USDT,actusdt,2,6,2,0.0,0.004595,2,1,1,0,0.00364,0.002122,0.001798,0.0089,0.0089,-9999.995601,0.009157,0.004595,0.009157,0.009157,False,False,0,0.001798,0.002122,0.0089,0.003018
YFII,YFII/USDT,yfiiusdt,4,4,2,1997.4555,2691.6624,0,1,1,1,1450.0,860.5315,1997.4555,2437.53,11210.9265,-7697.8166,1997.4555,2025.8457,3823.7973,3823.7973,False,False,0,2437.53,860.5315,2437.53,1194.8658
PLU,PLU/USDT,pluusdt,4,4,2,0.0,13.7402,1,0,1,1,17.1464,6.446,6.0097,13.7402,10006.5292,-9992.1744,13.7295,13.7402,13.7295,13.7295,False,False,1,6.0097,6.0097,17.1464,9.338
ALICE,ALICE/USDT,aliceusdt,4,4,2,6.0167,8.24,0,0,1,0,3.313,1.8977,6.0167,7.0264,10003.1896,-9993.2958,6.0167,7.0264,22.3995,22.3995,False,False,0,5.3749,1.8977,7.0264,3.0395
SNT,SNT/USDT,sntusdt,4,6,2,0.042877,0.060984,0,1,1,1,0.038565,0.025563,0.042877,0.086188,10000.038565,-9999.925571,0.042877,0.060984,0.09555,0.09555,False,False,0,0.086188,0.025563,0.086188,0.035269
INV,INV/USDT,invusdt,6,2,1,0.0,701.4,0,1,0,0,142.13,75.45,288.24,701.4,10118.95,288.24,288.24,701.4,750.01,750.01,False,False,0,216.58,75.45,500.0,104.28
ZBC,ZBC/USDT,zbcusdt,4,6,2,0.0,0.0,0,1,0,0,0.019922,0.015468,0.0305,0.063726,10000.017984,-9999.965302,0.0305,0.0305,0.0305,0.0305,False,False,0,0.0,0.015468,0.063726,0.017636
GARI,GARI/USDT,gariusdt,2,6,2,0.0,0.0,0,0,0,0,1.0,0.2,0.58842,0.58842,10000.61783,-9999.3535,0.58842,0.58842,0.58842,0.58842,False,False,1,0.0,0.2,1.0,0.649952
SMT,SMT/USDT,smtusdt,4,6,2,0.002201,0.0,1,2,0,1,0.002648,0.001796,0.001706,0.006,10000.002264,0.001706,0.002201,0.003968,0.00569,0.00569,False,False,1,0.006,0.001706,0.002648,0.002023
MX,MX/USDT,mxusdt,2,4,1,1.5889,2.6747,0,1,0,1,1.7578,1.3141,2.3125,2.6747,10001.6,2.3125,2.3125,2.6747,1.7387,1.7387,False,False,0,2.964,1.3141,2.6747,1.5583
BTS,BTS/USDT,btsusdt,2,4,2,0.0189,0.0287,0,1,1,1,0.0168,0.0103,0.0189,0.0312,10000.0134,-9999.9735,0.0189,0.0234,0.049,0.049,False,False,0,0.0312,0.0103,0.0312,0.0132
GT,GT/USDT,gtusdt,2,4,2,6.098,6.9818,1,2,1,1,5.8379,5.1971,4.7402,7.4,10005.4603,4.7402,6.098,7.0008,6.35,6.35,False,False,1,7.4,4.7402,5.8379,5.7861
AKRO,AKRO/USDT,akrousdt,2,5,2,0.01062,0.01506,0,1,1,1,0.00486,0.00299,0.01062,0.01821,10000.00374,-9999.98483,0.01062,0.01574,0.04183,0.04183,False,False,0,0.01821,0.00299,0.01821,0.0036
ATOM,ATOM/USDT,atomusdt,3,4,1,25.1437,34.7082,0,1,0,1,14.7107,8.5403,21.5609,34.7082,10011.5884,21.5609,25.1437,34.7082,36.8104,36.8104,False,False,0,44.6833,8.5403,34.7082,11.2736
ALGO,ALGO/USDT,algousdt,2,4,1,1.408,0.7854,0,1,0,1,0.509,0.358,0.5375,0.7854,10000.4489,0.5375,1.408,0.7854,1.8469,1.8469,False,False,0,0.5375,0.358,0.7854,0.4366
AE,AE/USDT,aeusdt,2,4,1,0.0,0.1349,0,1,0,0,0.1042,0.0761,0.1045,0.1349,10000.0989,0.1045,0.1045,0.1349,0.1507,0.1507,False,False,0,0.0758,0.0761,0.1349,0.0937
SCRT,SCRT/USDT,scrtusdt,4,4,1,0.0,4.976,0,1,0,0,3.6315,1.8289,4.4793,4.976,10002.307,4.5563,4.4793,4.976,9.0598,9.0598,False,False,0,4.161,1.8289,4.976,2.307
LINK*3,LINK*3/USDT,link3lusdt,4,10,2,0.000123,0.0,0,1,0,1,1.2e-05,4e-06,0.000123,0.000249,10000.0000078,-9999.999807,0.000123,0.000153,0.012102,0.012102,False,False,0,0.000249,4e-06,0.000249,7.2659e-06
EM,EM/USDT,emusdt,2,6,2,0.0011,0.001946,1,0,1,1,0.0037,0.001153,0.00093,0.001946,10000.001471,-9999.997995,0.001397,0.001946,0.004634,0.004634,False,False,1,0.00093,0.00093,0.0037,0.002064
1INCH,1INCH/USDT,1inchusdt,4,6,1,0.0,2.099129,0,1,0,0,1.059557,0.705548,1.180886,2.099129,10001.017208,1.180886,4.388544,2.099129,4.388544,4.388544,False,False,0,1.180886,0.705548,2.099129,0.980856
LAT,LAT/USDT,latusdt,2,4,2,0.0433,0.0859,0,1,1,1,0.029,0.0136,0.0433,0.1024,10000.0194,-9999.9353,0.0433,0.0666,0.1585,0.1585,False,False,0,0.1024,0.0136,0.1024,0.0165
CKB,CKB/USDT,ckbusdt,2,6,1,0.0,0.013034,1,2,1,1,0.006324,0.004241,0.004186,0.013034,10000.005121,0.004186,0.010383,0.013034,0.021177,0.021177,False,False,1,0.004186,0.004186,0.006324,0.004987
IOTA,IOTA/USDT,iotausdt,4,4,2,0.6693,0.6853,0,1,1,1,0.4123,0.2398,0.6132,0.7032,10000.351,-9999.3418,0.6693,0.6853,1.2574,1.2574,False,False,0,0.6132,0.2398,0.7032,0.3434
O3,O3/USDT,o3usdt,2,4,1,0.0,0.498,1,2,1,0,0.2487,0.1552,0.115,0.498,10000.1855,0.115,1.9556,0.498,1.9556,1.9556,False,False,1,0.115,0.115,0.2487,0.2104
