Coin,Name,Symbol,PCoin,PPrice,Trend_5M,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice
GAL,GAL/USDT,galusdt,4,4,1,5.9266,6.046,1,2,1,1,5.9442,5.9125,5.7391,6.046,10005.8374,5.7391,5.9565,6.046,5.6387,5.6387,False,False,1,5.7391,5.7391,5.9442
BIX,BIX/USDT,bixusdt,4,6,2,0.0,0.0,1,2,0,0,0.024625,0.023443,0.023536,0.024842,10000.023933,0.023536,0.024766,0.024766,0.024766,0.024766,False,False,1,0.0,0.023536,0.024625
STN,STN/USDT,stnusdt,2,4,2,0.0,0.0,0,0,0,0,0.0305,0.0305,0.0306,0.0306,10000.0305,0.0306,0.0306,0.0306,0.0306,0.0306,False,False,0,0.0,0.0305,0.0306
ATS,ATS/USDT,atsusdt,2,6,0,0.215154,0.0,1,0,0,0,0.217233,0.215521,0.215154,0.215521,0.215521,-9999.784203,0.215154,0.215154,0.215154,0.215154,False,False,1,0.215521,0.215154,0.217233
NHBTC,NHBTC/USDT,nhbtcusdt,4,4,2,0.0179,0.0,1,2,0,1,0.0188,0.0182,0.0175,0.0188,10000.0175,0.0175,0.0179,0.0182,0.0176,0.0176,False,False,1,0.0188,0.0175,0.0188
PLY,PLY/USDT,plyusdt,4,6,0,0.002635,0.0,1,2,0,1,0.002863,0.002808,0.00268,0.002931,0.002931,0.00268,0.00268,0.00284,0.002598,0.002598,True,False,1,0.002931,0.00268,0.002863
NOIA,NOIA/USDT,noiausdt,4,4,0,0.0696,0.0,2,1,0,1,0.0709,0.0704,0.0696,0.0705,0.0705,-9999.9295,0.0696,0.0694,0.0694,0.0694,False,False,0,0.0705,0.0704,0.0705
MU,MU/USDT,muusdt,4,6,2,0.0,0.0,0,0,0,0,0.032187,0.030938,0.032266,0.032266,10000.031599,-9999.9678,0.032266,0.032266,0.032266,0.032266,False,False,0,0.0,0.030938,0.032449
GNX,GNX/USDT,gnxusdt,2,6,0,0.005361,0.0,1,2,0,1,0.005368,0.005368,0.005361,0.005623,0.005623,0.005361,0.005361,0.005623,0.005229,0.005229,True,True,1,0.005833,0.005361,0.005368
BAT,BAT/USDT,batusdt,2,4,0,0.3788,0.3821,1,0,1,0,0.3835,0.3822,0.3788,0.3816,0.3816,-9999.6178,0.3788,0.3816,0.38,0.38,False,False,1,0.3775,0.3788,0.3835
