Coin,Name,Symbol,PCoin,PPrice,Trend_H1,CBuy,CSell,WaveCountUp,WaveCountDown,WaveCountUpAfterD,WaveCountDownAfterD,Upper,Lower,AUp,ADown,BUp,BDown,CUp,CDown,DUp,DDown,MSBuy,MSSell,LastState,LastAPriceAfterD,DownPrice,UpPrice,LPrice
BIX,BIX/USDT,bixusdt,4,6,0,0.023443,0.0,1,0,0,0,0.029486,0.02386,0.023443,0.02751,0.02751,-9999.974399,0.023443,0.02751,0.024966,0.024966,False,False,1,0.029475,0.023443,0.029486,0.026207
ANC,ANC/USDT,ancusdt,4,4,0,0.0767,0.1037,1,0,1,0,0.2649,0.1831,0.0767,0.0883,0.0883,-9999.7834,0.0767,0.0883,0.4921,0.4921,False,False,1,0.0768,0.0767,0.2649,0.2336
XPRT,XPRT/USDT,xprtusdt,4,4,1,1.4371,1.6238,0,1,0,1,1.6045,1.5757,1.5997,1.6238,10001.582,1.5997,1.6447,1.6238,1.38,1.38,False,False,0,1.5997,1.5757,1.6238,1.582
ONE,ONE/USDT,oneusdt,2,6,2,0.045801,0.04808,2,1,1,1,0.050783,0.04822,0.046441,0.050383,0.050383,-9999.950312,0.046538,0.04808,0.048073,0.048073,False,False,0,0.046441,0.04822,0.050383,0.049118
DAC,DAC/USDT,dacusdt,2,6,2,0.0,0.0,0,0,0,0,0.000111,7e-05,7e-05,7e-05,10000.000069,-9999.999914,7e-05,7e-05,7e-05,7e-05,False,False,1,0.0,6.3e-05,0.000111,8.7e-05
FLOKI,FLOKI/USDT,flokiusdt,2,8,0,8.3e-06,0.0,2,0,0,0,1.064e-05,1.022e-05,8.3e-06,1.056e-05,1.054e-05,8.3e-06,8.3e-06,1.056e-05,7.69e-06,7.69e-06,False,True,0,0.0,1.022e-05,1.054e-05,1.036e-05
WOZX,WOZX/USDT,wozxusdt,4,4,2,0.0904,0.1084,0,0,0,1,0.1161,0.1005,0.1033,0.1084,10000.1053,-9999.8941,0.1033,0.1084,0.0961,0.0961,False,False,0,0.1158,0.1005,0.1084,0.1066
ATP,ATP/USDT,atpusdt,2,7,0,0.0,0.0,1,0,0,0,0.0001701,0.000109,8.68e-05,9e-05,9e-05,-9999.9998618,9e-05,9e-05,9e-05,9e-05,False,False,1,0.0,8.68e-05,0.0001701,0.0001384
USDT,USDT/BRL,usdtbrl,1,3,2,0.0,0.0,0,0,0,1,5.289,4.652,4.851,5.119,10005.02,-9994.85,5.083,5.083,5.083,5.083,False,False,1,5.119,4.851,5.289,4.932
IRIS,IRIS/USDT,irisusdt,2,6,0,0.023386,0.021646,1,0,1,0,0.027582,0.023909,0.023386,0.023977,0.023977,-9999.975693,0.023386,0.023977,0.019695,0.019695,False,False,1,0.021543,0.023386,0.027582,0.024641
