ID,Coin
2847,ABYSS
2850,TM2
2852,EGCC
2855,CBC
2856,CEEK
2859,XMX
2861,GO
2862,SSP
2865,TRTT
2866,UPP
2868,DAG
2869,MVP
2870,FGC
2873,MET
2874,AOA
2876,TERN
2878,DFT
2879,ORS
2880,RTE
2882,ZCN
2883,ZINC
2885,EGT
2889,BOB
2890,KNDC
2891,CARD
2894,OTB
2896,MFT
2898,GOT
2900,PAI
2901,FTI
2906,ESS
2907,KBC
2908,HSC
2909,LIKE
2912,TENT
2913,DTX
2914,BKBT
2915,MOC
2916,NIM
2920,ZXC
2921,OLT
2927,SUSD
2929,TGAME
2930,IQ
2933,BMX
2934,KAN
2937,VITE
2938,GARD
2941,CET
2943,RPL
2944,ELY
2945,BOX
2947,SOP
2949,KRL
2950,LEMO
2953,BWX
2955,COSM
2958,TRTL
2960,TOTO
2965,VIKKY
2966,FOXT
2970,LCS
2972,ZPR
2976,RYO
2977,BIT
2978,ACED
2980,WAB
2982,MVL
2984,NCP
2986,DACC
2987,TOS
2988,PGN
2989,EURS
2990,EXMR
2991,NIX
2992,APL
2994,BIFI
2998,VEX
3004,ACDC
3006,NBR
3008,VIVID
3011,BITX
3012,VTHO
3013,PRIV
3016,NCC
3018,KLKS
3020,BHP
3023,SEM
3024,ARO
3027,WEB
3029,FLUX
3035,BST
3051,BBK
3052,GOC
3053,YOU
3054,DACS
3056,TCH
3060,YCC
3061,PC
3065,ROCK2
3066,BCV
3070,LXT
3071,EUNO
3077,VET
3078,KIND
3079,X8X
3080,CMM
3082,VIN
3083,LINA
3085,INO
3087,CROAT
3089,AVINOC
3093,BBS
3094,SCR
3095,NBC
3096,NPXSXEM
3097,XOV
3106,PKG
3118,GIO
3120,OWN
3121,IG
3123,GSE
3125,XDNA
3126,XPX
3127,GET
3128,SCC
3129,NYEX
3131,TIC
3132,EGEM
3133,AREPA
3136,MEETONE
3137,KARMA
3138,NOKU
3139,DX
3140,UBEX
3141,PASS
3142,BAAS
3144,THR
3147,HYC
3149,NTK
3151,AKA
3152,OBTC
3154,DAC
3155,QNT
3156,ABL
3158,ZCR
3159,XAP
3162,YLC
3164,PMA
3165,ARION
3166,XBI
3171,HB
3175,MARO
3179,ABX
3181,HAND
3182,HIT
3184,GPKR
3189,MFTU
3194,RATING
3198,KXC
3200,NSD
3203,LOBS
3205,VDG
3208,YUKI
3209,KWATT
3210,MIB
3215,GTM
3217,ONG
3218,NRG
3219,FTXT
3220,DAV
3222,BNC
3223,DOW
3231,BQT
3232,STR
3234,XRA
3238,AT
3241,FKX
3242,BEET
3243,IMT
3247,FLOT
3248,ALI
3251,GOT
3252,SHE
3253,BLACK
3255,CYMT
3256,BTR
3257,GZE
3258,BUT
3259,UC
3260,AMO
3261,EVN
3263,DIN
3264,DIT
3265,HAVY
3266,CARE
3273,IQ
3276,SNO
3279,RTH
3280,RET
3285,BIR
3286,MEX
3287,AAA
3294,BTAD
3295,BU
3296,MIN
3297,GENE
3301,IHF
3302,UCN
3304,MOLK
3305,EDN
3306,GUSD
3311,CSTL
3313,CFL
3315,IOG
3316,AOG
3317,CTRT
3323,PYN
3324,PLURA
3325,ROX
3327,SIX
3328,CMIT
3330,USDP
3332,GOSS
3334,XCASH
3335,SHARD
3336,IQN
3337,QCH
3338,PAXEX
3343,ANON
3344,ECOREAL
3345,DAPS
3347,CARAT
3349,GPYX
3351,ZB
3352,MAS
3354,TRXC
3356,TMTG
3361,MINTME
3362,AUX
3363,WXC
3364,PLC
3366,SINS
3367,CRD
3369,KUE
3371,MIR
3374,RAGNA
3377,XGS
3381,CIV
3383,KNT
3386,ACM
3387,BLAST
3388,FREE
3389,TOL
3390,QUAN
3395,STEEP
3397,NRP
3398,SCRIV
3404,WIX
3408,USDC
3414,ZEUS
3416,WAGE
3417,F1C
3418,META
3422,SHPING
3431,ICNQ
3432,RPD
3433,ENTS
3435,SNET
3437,ABBC
3439,DEAL
3441,DIVI
3444,KUN
3446,ZNT
3449,MMO
3451,BLOC
3452,ETHO
3454,DATP
3456,PLUS1
3457,IRD
3458,ZT
3459,HELP
3464,CHEESE
3466,ISR
3468,FBN
3469,TDP
3470,DT
3476,ITL
3479,MODX
3480,SHMN
3481,PNY
3482,TELOS
3484,WTN
3489,ESCE
3492,VLD
3501,SOUL
3504,HNDC
3505,TYPE
3506,IONC
3507,MBC
3512,APC
3513,FTM
3514,SIN
3516,D4RK
3519,BRZE
3523,SND
3580,CYL
3581,PNK
3582,MEDIBIT
3589,ETHM
3596,XNV
3597,INVE
3600,HUM
3602,BSV
3604,SHB
3607,VEST
3608,UDOO
3609,CWV
3610,MICRO
3611,NOR
3613,DASHG
3615,HQT
3616,BCDT
3617,ILC
3618,GATE
3620,ATP
3621,BTNT
3624,NZL
3625,EQUAD
3626,RBTC
3627,BLTG
3628,MXC
3631,FOAM
3632,OPCT
3633,PLAT
3634,KAT
3635,CRO
3636,LML
3637,AERGO
3639,PXG
3640,LPT
3644,TVNT
3645,SHVR
3646,HERB
3649,NPLC
3650,COVA
3651,NEXT
3652,ZUM
3656,BECN
3657,LAMB
3659,QUIN
3661,SHX
3662,HEDG
3663,XFC
3664,AGVC
3665,IMPL
3666,ULT
3667,AWC
3668,PRX
3669,WCO
3672,DOGEC
3673,ASD
3677,ROCO
3679,RNO
3681,CENT
3682,XTA
3683,AENS
3685,BTCL
3686,CVNT
3687,BTB
3690,BUL
3691,KT
3692,TOK
3695,HYN
3698,OBSR
3701,RIF
3702,BEAM
3703,ADM
3704,VSYS
3707,TOSC
3708,EXO
3709,GRIN
3711,PLA
3712,CLBK
3714,LTO
3715,CAJ
3716,VEO
3717,WBTC
3718,BTTOLD
3721,HPT
3722,TEMCO
3724,SOLVE
3730,TCAT
3731,PLA
3732,CCX
3733,S4F
3734,ELAMA
3735,VGW
3737,BTU
3738,DCTO
3741,ECTE
3742,BNANA
3744,WEBN
3746,ELD
3748,HXRO
3750,XPC
3752,UPX
3753,PLTC
3754,EVY
3755,MNC
3756,MHC
3758,MCF
3759,JNB
3760,SWC
3761,DSCPL
3763,OWC
3764,SET
3767,1X2
3768,PIB
3769,HBX
3770,CCN
3772,SCC
3773,FET
3774,MNC
3777,SPT
3779,COT
3780,SPRKL
3783,ANKR
3786,LUNES
3787,INNBCL
3789,BOLTT
3790,RC20
3791,JWL
3792,ARAW
3794,ATOM
3795,ZEON
3798,XUEZ
3799,SAFE
3800,FEX
3801,BORA
3805,NAVY
3806,TCH
3807,LTK
3809,DOS
3810,ETGP
3814,CELR
3816,VRA
3819,GMB
3820,BHIG
3822,TFUEL
3823,OLXA
3826,TOP
3829,NEX
3830,VEIL
3831,SHA
3832,BBGC
3835,ORBS
3839,XRC
3840,FST
3842,CSP
3843,BOLT
3845,VIDT
3846,VBK
3849,WHEN
3850,OTO
3853,MTV
3854,FUND
3855,LOCUS
3856,SFCP
3858,FNB
3860,BLOC
3863,UGAS
3866,CON
3867,NASH
3868,SIGN
3869,A
3870,LIT
3871,NEW
3873,BOTX
3874,IRIS
3875,VALOR
3876,ENTRC
3877,WEBD
3878,XWP
3879,ESBC
3880,OCE
3882,ARQ
3883,QCX
3884,FX
3885,WPP
3888,BCEO
3890,MATIC
3891,VOLLAR
3893,NOW
3894,CSPN
3895,MAC
3897,OKB
3898,AXE
3899,ZDR
3902,XMV
3904,REEC
3907,BITC
3908,DIO
3910,PEOS
3911,OCEAN
3913,TTN
3914,GTN
3915,MERI
3916,THX
3917,SNTVT
3918,SAFE
3920,DPT
3925,TRAT
3928,IDEX
3929,BQTX
3930,TT
3931,ELET
3933,SWIFT
3934,CNNS
3935,SRK
3936,GNY
3937,NNB
3939,TRP
3942,QWC
